brand,model_name,room_size,capacity_ton,energy_efficiency,inverter,operating_range,installation_required,delivery_duration,ac_type,smart_features,noise_levels,stars,price,description
Samsung,WindFree™ 1.5 T 5 Star Inverter Split (2025),20,1.5,5,Yes,18–50 °C,Yes,3–5 days,Split,Wi-Fi/App,41 dB,4.5,81990,"The Samsung WindFree™ 1.5 T Split AC (2025) combines whisper-quiet cooling (~41 dB) with top-tier 5-Star inverter efficiency, smart control through Wi-Fi and App, covers ~20 m² rooms, and costs ₹81,990 with 3–5 days delivery, ideal for users prioritizing energy savings and convenience."
LG,AI Convertible 6-in-1 1.5 T Dual Inverter,18,1.5,3,Yes,18–48 °C,Yes,4–6 days,Split,Wi-Fi/Voice,39 dB,4.2,78990,"The LG AI Convertible 6-in-1 1.5 T Split offers adaptive cooling modes and whisper-quiet performance (~39 dB), powered by Dual Inverter tech and AI for personalized comfort, controllable via Wi-Fi or voice, great for ~18 m² rooms, priced ₹78,990 with 4–6 days shipping."
Blue Star,Wi-Fi Connect 1.5 T 5 Star Inverter Split,15,1.5,5,Yes,18–50 °C,Yes,3–5 days,Split,Wi-Fi,40 dB,4.1,77490,"Blue Star 1.5 T 5-Star Inverter Split with Wi-Fi delivers fast cooling, energy transparency via smart app, noiseless operation (~40 dB), optimal for ~15 m² rooms, and is priced at ₹77,490 with 3–5 days delivery—excellent for eco-smart shoppers."
Panasonic,7-in-1 Convertible 1.5 T 3 Star Split Inverter,15,1.5,3,Yes,18–48 °C,Yes,4–6 days,Split,Wi-Fi,42 dB,4.0,64990,"Panasonic’s 7-in-1 Convertible Split (1.5 T, 3-Star) allows tuning cooling capacities, has Wi-Fi functionality, runs quietly (~42 dB), suits ~15 m² bedrooms and costs ₹64,990 with 4–6 days delivery—versatile and value-oriented."
Voltas,1.5 T Window Inverter AC 2024,12,1.5,3,Yes,18–43 °C,Yes,3–5 days,Window,Wi-Fi,50 dB,4.2,35999,"The Voltas 2024 Window Inverter AC (1.5 T, 3-Star) packs Wi-Fi smart control, energy efficiency, and easy plug-in convenience for ~12 m² rooms, operating at ~50 dB, priced affordably at ₹35,999 with fast delivery."
Carrier,Smart Flexicool 1.5 T 3 Star Convertible Split Inverter,16,1.5,3,Yes,18–48 °C,Yes,4–6 days,Split,Wi-Fi,41 dB,4.2,35988,"Carrier’s Smart Flexicool Convertible Split delivers flexible cooling modes, smart app control, quiet ~41 dB operation, is ideal for ~16 m² rooms, and comes at ₹35,988 with 4–6 days delivery—great for smart budget setups."
Godrej,Turbo Mode 1.5 T 5 Star Window Inverter,14,1.5,5,Yes,18–43 °C,Yes,5–7 days,Window,None,52 dB,4.0,32990,"Godrej Turbo Mode Window AC (1.5 T, 5-Star) delivers powerful cooling with high energy efficiency, no-frills single control, suited for ~14 m² rooms, priced ₹32,990—ideal for efficient simplicity."
Haier,1.5 T 5 Star Window Dual Inverter,15,1.5,5,Yes,18–50 °C,Yes,5–7 days,Window,Anti-bacterial filter,48 dB,4.2,35990,"Haier’s Dual Inverter Window AC (1.5 T, 5-Star) features an anti-bacterial filter, excellent energy savings, moderate noise (~48 dB), and is perfect for ~15 m² spaces, priced ₹35,990."
Daikin,FTKL Series 1.5 T 5 Star Inverter Split,18,1.5,5,Yes,18–48 °C,Yes,4–6 days,Split,None,38 dB,4.6,79990,"Daikin FTKL 1.5 T Split AC (5-Star, Inverter) offers ultra-quiet (~38 dB) and highly efficient cooling tailored to ~18 m² rooms, with a premium ₹79,990 price tag and 4–6 days delivery—ideal for those wanting smooth, silent cooling."
IFB,Silver Star 1.5 T 5 Star Split,17,1.5,5,Yes,18–48 °C,Yes,4–6 days,Split,None,40 dB,4.0,44990,"IFB Silver Star 1.5 T Split AC provides dependable, efficient cooling (5-Star inverter), low noise (~40 dB), covers ~17 m², and is priced at ₹44,990 with 4–6 days delivery—reliable and balanced."
